EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Tornado	Regina SK	30/06/1912 12:00:00 AM	Regina SK, June 30 1912. 28 dead, hundreds injured, 2500 homeless; more than 400 of the finest buildings in the city were destroyed.	28	100	2500			30/06/1912 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Heat Event	Eastern Canada	08/07/1912 12:00:00 AM	Eastern Canada, July 8-10, 1912. Temperatures of >32°C from Ontario to the Atlantic Ocean; at least 3 heat-related deaths in adults were reported, while many more infant deaths were believed to occur in poor areas; one Ontario farmer committed suicide, while a mother killed her children (July 9); wheat, barley, and oats grew below average height and grade.	3	0	0			10/07/1912 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Lakes Huron, Erie and Ontario	07/11/1913 12:00:00 AM	Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.	270	0	0			13/11/1913 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Newfoundland coast	01/01/1914 12:00:00 AM	Newfoundland, 1914. 173 died when the ship "Southern Cross" vanished in storm off coast of Newfoundland.	173	0	0			01/01/1914 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1914 12:00:00 AM	Prairie provinces, 1914. Cereal crop drought occurred in parts of the Prairies.	0	0	0			01/01/1914 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Labrador	01/04/1914 12:00:00 AM	Labrador, April 1, 1914. Seventy-seven sealers froze to death during a violent storm on the ice off the southeast coast of Labrador.  At the height of the storm, from March 31-April 2, the temperature was -23°C with winds from the northwest at 64 km/h.  Captain Wes Keane of the "Newfoundland," his ship being stuck in the ice for three days, suggested to the sealers to walk across the ice to the hunt; and if the weather deteriorated they could take shelter on his father's ship; after a long walk, the men found no seals but came upon the ship "Stephano" commanded by Captain Abram Keane; they were taken aboard and sailed to the site of the hunt but told to walk back to their own ship after the hunt; the "Newfoundland" had no radio aboard; both ships left not knowing that the men were missing lost on the ice.	77	0	0			01/04/1914 12:00:00 AM								0	0.0	
Incident	Technology	Transportation accident	Marine	St. Lawrence River QC	28/05/1914 12:00:00 AM	St. Lawrence River QC, May 28 1914. 1024 dead: the CP liner "Empress of Ireland" collided with the Norwegian coal ship "Storstad" and sank in 14 minutes: many lost were members of the Salvation Army: 840 dead were passengers.	1024	0	0			28/05/1914 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Hillcrest AB	19/06/1914 12:00:00 AM	Hillcrest AB, June 19, 1914. 189 dead, 48 survivors: a dust explosion occurred in the coal mine.	189	48	0			19/06/1914 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	North Saskatchewan River AB and SK	01/01/1915 12:00:00 AM	North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.	0	0	2000			01/01/1915 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Nanaimo BC	01/01/1915 12:00:00 AM	Nanaimo BC, 1915.  Western Fuel Company explosion killed 22 people.	22	0	0			01/01/1915 12:00:00 AM								0	0.0	
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Wellington BC	01/02/1915 12:00:00 AM	Wellington BC, February 1915. An accident at the Wellington Colliery led to the drowning of 19 miners.	19	0	0			01/02/1915 12:00:00 AM								0	0.0	
Disaster	Natural	Geological	Landslide	Cooper Mine, Jane Camp BC	22/03/1915 12:00:00 AM	Cooper Mine, Jane Camp BC, March 22, 1915. 56 dead, approximately 22 injured; a rock slide from above a portal of a mine wiped out half the buildings at a mine campsite, catching many miners in their bunkhouses.	56	22	0			22/03/1915 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Northeastern New Brunswick	08/07/1915 12:00:00 AM	Northeastern New Brunswick, July 8-9 1915.	0	0	0			09/07/1915 12:00:00 AM								0	0.0	
Incident	Technology	Fire	Residential	Ottawa ON	03/02/1916 12:00:00 AM	Ottawa ON, February 3, 1916. 7 dead; a fire destroyed the Centre Block of the Parliament buildings; only the library survived intact, due to its metal fire doors being closed.	7	0	0			03/02/1916 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	24/04/1916 12:00:00 AM	Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River.	0	0	0			24/04/1916 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Cochrane and Matheson ON	29/07/1916 12:00:00 AM	Cochrane and Matheson ON, July 29, 1916. Both were destroyed;  233 deaths (unofficially as high as 400), 8000 made homeless; the fire resulted from a small blaze started by lightening and augmented by fires started by sparks from a passing locomotive.	233	0	8000			29/07/1916 12:00:00 AM								0	0.0	
Incident	Technology	Infrastructure failure	Transportation	Quebec City QC	11/09/1916 12:00:00 AM	Quebec City QC, September 11, 1916. A new centre span for the Quebec Bridge was being hoisted into position when it fell into the St. Lawrence River, killing 13 workmen.	13	0	0			11/09/1916 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Fernie BC	01/01/1917 12:00:00 AM	Fernie BC, 1917.  An explosion at the #3 mine at Coal Creek killed 34 people.	34	0	0			01/01/1917 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1917 12:00:00 AM	Prairie provinces, 1917. Cereal crop drought occurred in parts of the Prairies.	0	0	0			01/01/1917 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	New Waterford NS	25/07/1917 12:00:00 AM	New Waterford NS, July 25, 1917. 65 dead: an explosion took place in mine #1 of the Dominion Coal Company.	65	0	0			25/07/1917 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Northwestern British Columbia	28/10/1917 12:00:00 AM	Northwestern British Columbia, October 28 - November 19, 1917. Heavy rains caused major flooding along the Skeena and Nass rivers, and landslides also occured in many areas. Numerous bridges were damaged, and the Village of Aiyanish was 'wiped out': houses, crops, and provisions were washed away; cattle and horses drowned.	0	0	0			19/11/1917 12:00:00 AM								0	0.0	
Incident	Technology	Transportation accident	Marine	Halifax and Dartmouth NS	06/12/1917 12:00:00 AM	Halifax and Dartmouth NS, December 6, 1917. 1963 dead, 9000 injured: 1600 buildings destroyed, 12000 damaged, and 6000 people left homeless. The French munitions freighter "Mont Blanc" collided with the Belgian relief ship "Imo" in Halifax Harbour: the Mont Blanc, full of ammunition, caught fire and exploded, devastating the cities of Halifax and Dartmouth: this was the largest man-made explosion ever to occur prior to the first nuclear explosion.	1963	9000	6000			06/12/1917 12:00:00 AM								0	0.0	
Disaster	Natural	Biological	Epidemic	Across Canada	01/01/1918 12:00:00 AM	Across Canada, 1918-1925. More than 50,000 dead, two million affected; as part of a world-wide outbreak, Spanish Influenza hit Canadians hard, affecting more than one quarter of the population. The Canadian Red Cross assisted 230 communities in 1918.	50000	2000000	0			01/01/1925 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1918 12:00:00 AM	Prairie provinces, 1918. Cereal crop drought occurred in parts of the Prairies.	0	0	0			31/12/1918 12:00:00 AM								0	0.0	
Incident	Technology	Explosion	Non-Residential	Pictou County NS	23/01/1918 12:00:00 AM	Pictou County NS, January 23, 1918. 88 dead, 11 survivors: an explosion at the Allan coal shaft in the Albion Mines between Stellarton and New Glasgow.	88	11	0			23/01/1918 12:00:00 AM								0	0.0	
Incident	Technology	Fire	Non-Residential	Trenton ON	12/10/1918 12:00:00 AM	Trenton ON, October 12, 1918. A munitions factory in the town of Trenton exploded as a result of an uncontrollable fire. The plant was responsible for the production of various chemicals and munitions for the war effort and employed 2500 people. The fire lasted 3 days.	0	0	0			12/10/1918 12:00:00 AM								0	0.0	
Incident	Technology	Transportation accident	Marine	British Columbia, off coast	23/10/1918 12:00:00 AM	West coast BC, October 23, 1918. 343 dead: the CP steamship "Princess Sophia", carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board.	343	0	0			23/10/1918 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1919 12:00:00 AM	Prairie provinces, 1919. Cereal crop drought occurred in parts of the Prairies.	0	0	0			31/12/1919 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1920 12:00:00 AM	Prairie provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.	0	0	0			31/12/1920 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Southwestern Ontario	17/03/1920 12:00:00 AM	Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways.	0	0	0			21/03/1920 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Tornado	Southeastern Saskatchewan	22/07/1920 12:00:00 AM	Southeastern Saskatchewan, July 22, 1920. The tornado swept over a large portion of southeastern Saskatchewan, devastating the area. Four people died, more than a dozen were injured, and losses to property, equipment, crops and live stock were estimated to be in excess of $100,000 (1920 dollars). Many settlers lost both their homes and livelihoods in one sudden unexpected blow. Large scale relief was undertaken by the Canadian Red Cross to assist 42 affected families in Alameda, Frobisher, Lampman, Steelman, and Estevan SK.	4	13				22/07/1920 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Icelandic River and Fisher River MB	01/04/1986 12:00:00 AM	Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions.	0	0	148	2893389.0000	264639.2	30/06/1986 12:00:00 AM	908395.0000	1984994.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River, between Simonds and Woodstock NB	01/04/1986 12:00:00 AM	Saint John River, between Simonds and Woodstock NB, April 1-4, 1986. Flooding occurred along sections of the Saint John River in early April 1986, due to ice jams; unusually warm weather contributed to rapid snowmelt and the breakup of river ice; several homes in Simonds were flooded and families had to be evacuated; a private airstrip was severely damaged with 3 light aircraft being submerged.	0	0	0			04/04/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Montreal QC	29/05/1986 12:00:00 AM	Montreal QC, May 29, 1986. Hail the size of golf balls/tennis balls (up to 8 cm in diameter) fell in Montréal.	0	0	0	45473000.0000	4159115.9	29/05/1986 12:00:00 AM	0.0000	0.0000				45473000.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Fire	Canning NS	30/05/1986 12:00:00 AM	Canning NS, May 30, 1986. 500 evacuated; residents of the small farming community of Canning had to leave home after a chemical supplies warehouse caught fire and spewed hazardous fumes and smoke over the town.	0	0	500			30/05/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Waswanipi reserve QC	02/06/1986 12:00:00 AM	Waswanipi Reserve QC, June 2, 1986. A major forest fire forced the evacuation of 500 people living on the Waswanipi reserve.	0	0	500			02/06/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Southern Alberta	14/05/1986 12:00:00 AM	Southern Alberta, May 14-15, 1986. A 2-day storm, described as the worst spring storm in living memory in Alberta, brought knee-deep snow and 80 km/h winds; dozens of communities were left without services.	0	0	0			15/05/1986 12:00:00 AM	0.0000	0.0000						18270270	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Grand Falls NL	15/05/1986 12:00:00 AM	Grand Falls NL, May 15-16, 1986. 1000 evacuated at Grand Falls; among the worst of a series of more than 100 Forest fires burning across Eastern Canada as a result of unseasonably warm, dry weather.	0	0	1000			16/05/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Upper Gagetown and Burton NB	15/05/1986 12:00:00 AM	Upper Gagetown and Burton NB, May 15-16, 1986. 1000 evacuated between Upper Gagetown and Burton; among the worst of a series of more than 100 forest fires burning across Eastern Canada as a result of unseasonably warm, dry weather.	0	0	1000			16/05/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Lake St. Clair ON	04/04/1987 12:00:00 AM	Lake St. Clair ON, April 4, 1987. A storm with northerly winds of almost 60 km/h caused severe flood damage along Lake St. Clair; 50 evacuated; lower floors were flooded in 100 homes.	0	0	50			04/04/1987 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Saskatchewan and Alberta	16/07/1986 12:00:00 AM	Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.	1	0	0	17889807.0000	1636262.8	24/07/1986 12:00:00 AM	9484477.0000	8405330.0000						0	0.0	
Incident	Technology	Fire	Residential	Montreal and Westmount QC	26/10/1986 12:00:00 AM	Montreal and Westmount QC, October 26, 1986. At 4:54 pm, a fire struck the 10th floor of the Plaza Alexis-Nihon office tower. It took 200 fire-fighters around 13 hours to stop the blaze.	0	0	0			26/10/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Winnipeg MB	07/11/1986 12:00:00 AM	Winnipeg MB, November 7, 1986. A major storm dumped 30 cm of snow on Winnipeg; winds gusting to 90 km/h produced severe blowing snow and zero visibility; 2 dead.	2	0	0			07/11/1986 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Montreal QC	29/05/1987 12:00:00 AM	Montreal QC, May 29, 1987. The worst hailstorm on record in the province. Hailstones of 10-12 mm in diameter caused damage to trees, gardens, window glass, automobiles and roofs.	0	0	0	24891000.0000	2180233.6	29/05/1987 12:00:00 AM	0.0000	0.0000				24891000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Tornado	Winnipeg MB	06/07/1987 12:00:00 AM	Winnipeg MB, July 6, 1987. A thunderstorm caused at least 2 tornadoes in Winnipeg; strong winds and 40 mm of rain in two and a half hours caused flash flooding and resulted in considerable property damage.	0	0	0			06/07/1987 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Montreal QC	14/07/1987 12:00:00 AM	Montreal QC, July 14, 1987. The city experienced severe thunderstorms and intense rainfall with 100 mm of rain in 1 hour. Major expressways were flooded with over three metres of water; in 30 minutes the subterranean Decarie Expressway was flooded with 3.6 metres of water; the sewer system was backed up, flooding approximately 40,000 homes and businesses; the subway system was closed; 2 dead: one from drowning in his car and the other was electrocuted.  There was also a tornado caused by the severe thunderstorm which uprooted large trees and toppled hydro lines.	2	0	0	64216681.0000	5624818.8	14/07/1987 12:00:00 AM	6473041.0000	13065640.0000				44678000.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Derailment Release	Emerson MB	01/10/1987 12:00:00 AM	Emerson MB, October 1987. A CN Rail propane tanker and two other cars derailed south of Emerson, forcing 300 area residents to evacuate.	0	0	300			01/10/1987 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Goulais River ON	01/01/1988 12:00:00 AM	Goulais River ON, 1988.	0	0	0			01/01/1988 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Tornado	Edmonton AB	31/07/1987 12:00:00 AM	Edmonton AB, July 31, 1987. 27 dead, 600 injured, 1700 homeless; widespread heavy rainfall from a powerful tornado hit Edmonton on July 31,1987; 300 mm of rain fell in 3 days; the Smoky, Wapiti, Simonette, and Kakwa Rivers rose up to 7-8 metres in some areas; the tornado touched down in Edmonton and moved northeast; hailstorms were reported during the tornado; much of the damage was caused by hailstorms accompanying the tornado.	27	600	1700	181125959.0000	15865047.5	31/07/1987 12:00:00 AM	19948463.0000	12800496.0000				148377000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Northern British Columbia	01/01/1988 12:00:00 AM	Northern British Columbia, 1988.	0	0	0			01/01/1988 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Whitedog Lake ON	01/01/1988 12:00:00 AM	Whitedog Lake ON, 1988. 500 evacuated.	0	0	500			01/01/1988 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Marine Release	Come by Chance NL	07/03/1988 12:00:00 AM	Come by Chance NL, March 7, 1988. A ship released a total of 80 m³ of oil in two consecutive spills;  the pollution affected one km of the shore and required a clean-up operation.	0	0	0			07/03/1988 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Duck Mountain and Swan River MB	01/04/1988 12:00:00 AM	Duck Mountain and Swan River MB, April 1, 1988. A sudden thaw along with excessive rain produced severe flooding in the Duck Mountain-Swan River area of Manitoba. Damages occurred  to private, municipal and provincial property.	0	0	0	2323137.0000	195770.0	01/04/1988 12:00:00 AM	619569.0000	1703568.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Marine Release	Saint-Romuald QC	08/05/1988 12:00:00 AM	Saint-Romuald, near Québec Harbour QC, May 8, 1988. A major fuel spill occurred at a loading dock.	0	0	0			08/05/1988 12:00:00 AM	0.0000	0.0000						0	0.0	
